"filename", "language", "Ruby", "Ruby ERB", "JavaScript", "SCSS", "JSON", "Markdown", "YAML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210918091204_create_comments.rb", "Ruby", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210918102856_add_details_to_users.rb", "Ruby", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210918154127_create_camps.rb", "Ruby", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210918162440_add_user_id_to_camps.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210918162746_add_image_to_camps.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210920112033_create_loves.rb", "Ruby", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210923001814_change.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210923004047_create_reviews.rb", "Ruby", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20210924025957_add_site_to_tours.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\db\migrate\20211016090356_add_site_to_camps.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\db\schema.rb", "Ruby", 79, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 100
"c:\Users\kenz\3D Objects\geekcycle\db\seeds.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 8
"c:\Users\kenz\3D Objects\geekcycle\package.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\kenz\3D Objects\geekcycle\postcss.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\kenz\3D Objects\geekcycle\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 61, 1, 6, 68
"c:\Users\kenz\3D Objects\geekcycle\public\422.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 61, 1, 6, 68
"c:\Users\kenz\3D Objects\geekcycle\public\500.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 60, 1, 6, 67
"c:\Users\kenz\3D Objects\geekcycle\test\application_system_test_case.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
